frame_id,timestamp_seg,fps,tiempo_inferencia_ms,cantidad_personas,confianza_promedio_frame,conteo_entrada,conteo_salida,alerta
410,38.98,21.109,28.3968,2,0.7667,1,1,ALERTA: densidad alta de personas (3)
411,39.048,19.1277,30.432,2,0.7897,1,1,ALERTA: densidad alta de personas (3)
412,39.116,19.8114,30.473,2,0.803,1,1,ALERTA: deteccion confiable (0.80)
413,39.182,20.7082,30.6931,2,0.8045,1,1,ALERTA: deteccion confiable (0.80)
414,39.249,20.0554,30.494,2,0.781,1,1,ALERTA: deteccion confiable (0.80)
415,39.315,20.402,30.606,2,0.7807,1,1,ALERTA: deteccion confiable (0.80)
416,39.382,20.2754,30.3478,2,0.7575,1,1,ALERTA: deteccion confiable (0.80)
417,39.448,20.7637,30.3662,2,0.7247,1,1,ALERTA: deteccion confiable (0.80)
418,39.515,20.0077,31.5728,2,0.7485,1,1,ALERTA: deteccion confiable (0.80)
419,39.582,20.335,29.9504,2,0.7975,1,1,ALERTA: deteccion confiable (0.80)
420,39.649,20.2811,30.9503,2,0.7303,1,1,ALERTA: deteccion confiable (0.80)
421,39.717,19.8142,30.9179,1,0.9207,1,1,ALERTA: deteccion confiable (0.80)
422,39.78,22.1764,30.376,1,0.9075,1,1,ALERTA: deteccion confiable (0.80)
423,39.849,19.123,30.6072,1,0.919,1,1,ALERTA: deteccion confiable (0.80)
424,39.915,20.5863,31.8029,1,0.9162,1,1,ALERTA: deteccion confiable (0.80)
425,39.983,19.6298,30.9048,1,0.9133,1,1,ALERTA: deteccion confiable (0.80)
426,40.048,20.7668,31.543,1,0.9115,1,1,ALERTA: deteccion confiable (0.80)
427,40.114,20.8568,29.5408,1,0.9157,1,1,ALERTA: deteccion confiable (0.80)
428,40.205,13.5024,30.7741,1,0.9164,1,1,ALERTA: deteccion confiable (0.80)
429,40.264,24.0067,29.609,1,0.9027,1,1,ALERTA: deteccion confiable (0.80)
430,40.33,20.4507,29.6099,1,0.904,1,1,ALERTA: deteccion confiable (0.80)
431,40.394,21.2451,30.524,1,0.899,1,1,ALERTA: deteccion confiable (0.80)
432,40.469,17.5553,30.9179,1,0.9089,1,1,ALERTA: deteccion confiable (0.80)
433,40.533,21.1878,29.9551,1,0.8976,1,1,ALERTA: deteccion confiable (0.80)
434,40.597,21.5611,30.6067,1,0.8911,1,1,ALERTA: deteccion confiable (0.80)
435,40.667,19.019,29.5281,1,0.8982,1,1,ALERTA: deteccion confiable (0.80)
436,40.733,20.4901,30.5879,1,0.9122,1,1,ALERTA: deteccion confiable (0.80)
437,40.796,21.6538,29.654,1,0.9231,1,1,ALERTA: deteccion confiable (0.80)
438,40.867,18.3634,31.9018,1,0.9173,1,1,ALERTA: deteccion confiable (0.80)
439,40.932,21.3187,31.4233,1,0.9213,1,1,ALERTA: deteccion confiable (0.80)
440,40.999,19.7107,30.9422,1,0.9057,1,1,ALERTA: deteccion confiable (0.80)
441,41.064,20.9793,31.2271,1,0.9044,1,1,ALERTA: deteccion confiable (0.80)
442,41.132,19.5786,31.5619,1,0.9174,1,1,ALERTA: deteccion confiable (0.92)
443,41.199,19.9624,30.9699,1,0.9063,1,1,ALERTA: deteccion confiable (0.92)
444,41.266,20.1837,31.6529,1,0.9118,1,1,ALERTA: deteccion confiable (0.92)
445,41.33,21.4855,30.427,1,0.9188,1,1,ALERTA: deteccion confiable (0.92)
446,41.397,20.3305,30.129,1,0.9283,1,1,ALERTA: deteccion confiable (0.92)
447,41.467,18.8516,31.4381,1,0.9005,1,1,ALERTA: deteccion confiable (0.92)
448,41.529,22.2118,30.0241,1,0.9056,1,1,ALERTA: deteccion confiable (0.92)
449,41.598,18.785,29.429,1,0.9169,1,1,ALERTA: deteccion confiable (0.92)
450,41.667,19.3506,30.8132,1,0.9224,1,1,ALERTA: deteccion confiable (0.92)
451,41.732,20.9464,31.06,1,0.927,1,1,ALERTA: deteccion confiable (0.92)
452,41.797,21.1735,30.3292,1,0.908,1,1,ALERTA: deteccion confiable (0.92)
453,41.866,19.3578,31.0509,1,0.8989,1,1,ALERTA: deteccion confiable (0.92)
